Movie Title,Director,Actor 1,Actor 2,Actor 3,Actor 4
Rampage,Brad Peyton,Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan
Avengers: Inifity War,Anthony Russo,Robert Downey Jr,Chris Hemsworth,Mark Ruffao,Chris Evans
Deadpool 2,David Leitch,Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison
Show Dogs,Raja Gosnell,Alan Cumming, Will Arnett, Stanley Tucci, Natasha Lyonne
Adrift,Baltasar Kormákur,Shailene Woodley, Sam Claflin, Grace Palmer, Jeffrey Thomas
Hereditary,Ari Aster,Alex Wolff, Gabriel Byrne, Toni Collette, Milly Shapiro
Ocean's 8,Gary Ross,Sandra Bullock,Cate Blanchett, Anne Hathaway,Mindy Kaling
Won't You Be My Neighbor,Morgan Neville,Joanne Rogers, Betty Aberlin, McColm Cephas Jr., François Scarborough Clemmons
Gotti,Robert Harmon,Armand Assante, William Forsythe, Richard C. Sarafian, Frank Vincent
Tag,Jeff Tomsic,Ed Helms, Lil Rel Howery, Jon Hamm, Annabelle Wallis
Jurassic World: Fallen Kingdom,J.A. Bayona,Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith
Leave No Trace,Debra Granik,Thomasin McKenzie, Ben Foster, Jeffery Rifflard, Michael Draper
Sanju,Rajkumar Hirani,Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal
Sicario: Day of the Soldado,Stefano Sollima,Benicio del Toro,Josh Brolin,Isabella Moner,Jefferey Donovan
Uncle Drew,Charles Stone III,Kyrie Irving, Lil Rel Howery, Shaquille O'Neal, Chris Webber
The First Purge,Gerard McMurray,Y'lan Noel, Lex Scott Davis, Joivan Wade, Mugga
Ant-Man and The Wasp,Peyton Reed,Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins
Sorry To Bother You,Boots Riley,Lakeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick
Soorma,Shaad Ali,Diljit Dosanjh, Tapsee Pannu, Angad Bedi, Danish Husain
Eighth Grade,Bo Burnham,Josh Hamilton, Elsie Fisher, Emily Robinson, Daniel Zolghadri
Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky,Adam Sandler, Andy Samberg, Selena Gomez, Kevin James
Skyscraper,Rawson Marshall Thurber,Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller
Incredibles 2,Brad Bird,Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner
Blindspotting,Carlos López Estrada,Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones
Mamma Mia! Here We Go Again,Ol Parker,Lily James, Amanda Seyfried, Meryl Streep, Dominic Cooper
The Equalizer 2,Antoine Fuqua,Pedro Pascal, Denzel Washington, Bill Pullman, Melissa Leo
Unfriended: Darkweb,Stephen Susco,Colin Woodell,Rebecca Rittenhouse,Bety Gabriel,Andrew Lees
Mission Impossible Fallout,Christopher McQuarrie,Tom Cruise, Rebecca Ferguson, Henry Cavill, Michelle Monaghan
Scotty and the Secret History of Hollywood,Matt Tyrnauer,Peter Bart, Scotty Bowers, Robert Hofler, William Mann
Teen Titans GO! To the Movies,"Aaron Horvath, Peter Rida Michail",Kristen Bell, Nicolas Cage, Tara Strong, Will Arnett
Saheb Biwi Aur Gangster 3,Tigmanshu Dhulia,Jimmy Sheirgill, Sanjay Dutt, Mahie Gill, Chitrangda Singh
Disney's Christopher Robin,Marc Forster,Ewan McGregor,Hayley Atwell,Jim Cummings,Brad Garrett
The Darkest Minds,Jennifer Yuh Nelson,Bradley Whitford, Mandy Moore, Amandla Stenberg, Gwendoline Christie
Never Goin' Back,Augustine Frizzell,Maia Mitchell, Camila Morrone, Kyle Mooney, Aristotle Abraham II
The Spy Who Dumped Me,Susanna Fogel,Mila Kunis, Sam Heughan, Kate McKinnon, Justin Theroux